CodigoSucursal;CodigoFuerza;CodigoModoAtencion;CodigoRuta;DescripcionRuta;CodigoPersonal;FechaDesde;Periodicidad;Semana;AtiendeLunes;AtiendeMartes;AtiendeMiercoles;AtiendeJueves;AtiendeViernes;AtiendeSabado;AtiendeDomingo
1;1;PRE;1;STROEDER Y VILLALONGA   6;106;01/01/2009;1;1;1;0;1;0;0;1;0
1;1;PRE;2;VIEDMA/CDP;102;01/01/2009;1;1;0;0;0;0;0;0;0
1;1;PRE;4;PATAGONES  14;114;01/01/2009;1;1;0;0;0;0;0;0;0
1;1;PRE;5;PATAGONES   4;104;01/01/2009;1;1;1;1;1;1;1;0;0
1;1;PRE;6;VIEDMA  15;115;01/01/2009;1;1;1;1;1;1;1;1;0
1;1;PRE;7;VIEDMA   7;107;01/01/2009;1;1;1;1;1;1;1;0;0
1;1;PRE;8;CHANGOMAS;123;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;9;COOP OBRERA VIEDMA;124;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;10;LA ANONIMA PATAGONES;105;01/01/2009;1;1;1;0;0;1;0;0;0
1;1;PRE;11;LA ANONIMA CHICA;109;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;12;LA ANONIMA GRANDE;119;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;13;COOP. OBRERA VILLALONGA;126;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;14;DIARCO;120;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;15;COOP. PATAGONES CTRAL;114;01/01/2009;1;1;0;1;1;1;1;0;0
1;1;PRE;17;ZONAS;102;01/01/2009;1;1;0;0;0;0;0;0;0
1;1;PRE;17;ZONAS;108;01/01/2009;1;1;0;0;0;0;0;0;0
1;1;PRE;17;ZONAS;101;01/01/2009;1;1;0;0;0;0;0;0;0
1;1;PRE;18;EMPLEADOS;110;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;19;SAN BLAS;101;01/01/2009;1;1;1;1;0;0;0;0;0
1;1;PRE;20;LA BOCA;108;01/01/2009;1;1;0;1;1;1;1;0;0
1;1;PRE;21;GENERAL CONESA DESDE CDP;125;01/01/2009;1;1;1;0;0;0;0;0;0
2;1;PRE;1;VALCHETA   5;205;01/01/2009;1;1;1;0;1;0;0;0;0
2;1;PRE;2;LAS GRUTAS  10;210;01/01/2009;1;1;1;0;0;0;0;0;0
2;1;PRE;3;SAN ANTONIO OESTE   9;209;01/01/2009;1;1;1;1;1;0;1;0;0
2;1;PRE;4;LAS GRUTAS   3;203;01/01/2009;1;1;1;0;0;1;1;0;0
2;1;PRE;5;GENERAL CONESA   2;202;01/01/2009;1;1;1;0;0;0;0;0;0
2;1;PRE;6;SAN ANTONIO OESTE   3;203;01/01/2009;1;1;0;1;0;0;0;0;0
2;1;PRE;7;LAS GRUTAS   9;203;01/01/2009;1;1;0;0;0;0;0;0;0
2;1;PRE;22;LA ANONIMA SAO;212;01/01/2009;1;1;1;0;0;0;0;0;0
2;1;PRE;23;LA ANOMILA LAS GRUTAS;206;01/01/2009;1;1;1;1;0;0;0;0;0
1;1;PRE;29;COOP OBRE VIE 2;129;01/01/2009;1;1;1;0;0;0;0;0;0
1;1;PRE;3;PATAGONES/VIEDMA 3;103;01/01/2009;1;1;0;1;0;1;0;0;0
1;1;PRE;32;SAIEP 117;112;01/01/2009;1;1;0;0;0;1;0;0;0
2;1;PRE;30;SIERRA GRANDE;208;01/01/2009;1;1;0;0;1;0;0;0;0
2;1;PRE;31;L.A SIERRA GRANDE;207;01/01/2009;1;1;0;0;1;0;0;0;0
